Rank,Grade,User name,Display name,Media,Followers,Vidviews
1,A++,redbull,Red Bull,"1,488","54,166","14,132,454"
2,A++,spi0n,Spi0n,"14,425","48,202","996,983,000"
3,A++,contvreal,ConTV Hub™ 4K,60,"43,485","550,952"
4,A++,humtv,HUM TV,"1,038","41,029","93,227,418"
5,A++,watchmojo,WatchMojo,"14,569","37,049","32,048,469"
6,A++,splashnews,Splash News TV,"27,276","30,038","96,040,771"
7,A++,karimdebbache,Karim Debbache,45,"29,905","12,234,128"
8,A+,got7,GOT7,206,"29,537","352,540"
9,A+,tjhinnjatngo,Thai4U Channel,"4,704","29,279","14,855,189"
10,A+,arynews,ARY NEWS,"73,124","28,118","160,326,500"
11,A+,bangtansubs2,bangtansubs,"1,081","28,082","7,897,907"
12,A+,techinside,Tech Inside,42,"26,990","1,933,845"
13,A+,sohailshoukat2704,HD Hungama Official Channel,"3,505","26,968","27,197,885"
14,A+,cokestudiopakistan,Coke Studio Pakistan,335,"26,200","16,685,989"
15,A+,jypentertainment,JYP Nation,961,"25,754","7,734,280"
16,A+,fanreviews,FanReviews,"4,719","25,012","58,985,127"
17,A+,twiceonair,TWICE,111,"24,851","754,915"
18,A+,geonews,Geo News,"49,555","22,842","73,204,262"
19,A+,odn,ODN,"43,001","22,374","66,974,878"
20,A+,bts,BTS,4,"21,866","13,585"
21,A+,smashplus,SMASH FLIX,"9,961","21,790","71,066,138"
22,A+,arydigitalofficial,ARY Digital,"18,748","21,757","43,269,886"
23,A+,wochit,Wochit,"304,140","20,990","100,781,860"
24,A+,cbsnews,CBS News,"80,404","20,923","42,642,916"
25,A+,entertainmenttonight,Entertainment Tonight,"30,331","20,648","42,580,809"
